id,title,platform,expiry_date,yes_price,no_price,yes_volume,no_volume
0x4319532e181605cb15b1bd677759a3bc7f7394b2fdf145195b700eeaedfd5221,Fed rate hike in 2025?,Polymarket,2025-12-10,0.0,0.0,800442.498992,800442.498992
0xfa48a99317daef1654d5b03e30557c4222f276657275628d9475e141c64b545d,US recession in 2025?,Polymarket,2026-02-28,0.0,0.0,10203293.56597,10203293.56597
0xcddb4f52babca280f8e5fc4b9146f2520f0bfb88e134ff9ac8d52ea674185d79,Fed emergency rate cut in 2025?,Polymarket,2025-12-31,0.0,0.0,1251055.880645,1251055.880645
0x1bbdc459d73e6972f5ba1f687d739fde70a9774f4875611699fb00a9eb28f090,Tether insolvent in 2025?,Polymarket,2025-12-31,0.0,0.0,343512.617183,343512.617183
0x416316490efec1038ce09ec0184f82f1f7921876ee0594a30c783635ea6983d0,USDT depeg in 2025?,Polymarket,2025-12-31,0.0,0.0,1185480.568056,1185480.568056
0x5a54c2fe06f97a6abf5f7790d9d19e42680ae1ca61b344360deabaab28bd0f30,Weed rescheduled in 2025?,Polymarket,2025-12-31,0.0,0.0,73978.847501,73978.847501
0x9bacdaac65cbe257e96e58daf343c56879ea9003bdaed7cdb8cfcd1a82121d3a,Ukraine joins NATO in 2025?,Polymarket,2025-12-31,0.0,0.0,187328.310404,187328.310404
0x1b6f76e5b8587ee896c35847e12d11e75290a8c3934c5952e8a9d6e4c6f03cfa,Khamenei out as Supreme Leader of Iran in 2025?,Polymarket,2025-12-31,0.0,0.0,9394155.447351,9394155.447351
0x9fcb9901d142b5046467b4ea329508bdb19274eb1fd0fc833ee1916edd11cb73,Nuclear weapon detonation in 2025?,Polymarket,2025-12-31,0.0,0.0,2200578.764171,2200578.764171
0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791,Russia x Ukraine ceasefire in 2025?,Polymarket,2025-12-31,0.0,0.0,34400576.248508,34400576.248508
0x324d699420ad881471d0fd29acc86e664e397bd6461b3fa440dcd3efc514ac79,Putin out as President of Russia in 2025?,Polymarket,2025-12-31,0.0,0.0,1702257.858786,1702257.858786
0x641c8b680947405e097da700c54f344556bb59e2093acdf1576c1c68e795bddf,Netanyahu out by 2025?,Polymarket,2025-12-31,0.0,0.0,776492.463602,776492.463602
0x05af636e0989accb08334a74f69e5368e0aa28fe498fd16a3ca991e6dc5ae2cc,Will 2 Fed rate cuts happen in 2025?,Polymarket,2025-12-10,0.0,0.0,3028066.562676,3028066.562676
0x6df2f2ca434b5bacaef33d6b24edf42845199f4f794e66580de2d2c880a25275,Will 3 Fed rate cuts happen in 2025?,Polymarket,2025-12-10,0.0,0.0,3042200.971952,3042200.971952
0xc2846f35e85eb09a094edbd4e93e345d3c682dc0436615adc27122222fccbd81,Will 4 Fed rate cuts happen in 2025?,Polymarket,2025-12-10,0.0,0.0,2828088.123591,2828088.123591
0x6ee22365b6602d928aa7136f549cc0d718bb16b044a6d15191041b84b5f1f43d,Will 5 Fed rate cuts happen in 2025?,Polymarket,2025-12-10,0.0,0.0,2032787.746375,2032787.746375
0x12b6268efb832fe64bb746b9f50a51245b761d6b170e172b3cd81a7c4f39432b,Will 8+ Fed rate cuts happen in 2025?,Polymarket,2025-12-10,0.0,0.0,2392443.864117,2392443.864117
